epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.05,0.91681,2.4175,1.18217,1,0.03699,0.90309,0.75054,0.63185,3.03728,0.90336,0.00048343,0.00048343,0.00048343
2,315.011,0.78138,1.40614,1.05268,0.86602,0.7307,0.91416,0.75203,0.68435,2.50844,0.93648,0.000967302,0.000967302,0.000967302
3,452.044,0.79526,1.26198,1.05058,0.765,0.69224,0.79393,0.57903,0.9248,2.33187,1.10808,0.00143467,0.00143467,0.00143467
4,569.819,0.78776,1.12229,1.063,0.9324,0.95544,0.97942,0.78526,0.76549,1.32314,0.99798,0.00158448,0.00158448,0.00158448
5,694.458,0.79914,1.0617,1.06435,0.95099,0.97648,0.98557,0.81281,0.67753,1.07758,0.95787,0.00155698,0.00155698,0.00155698
6,813.569,0.76423,0.94419,1.03051,0.98684,0.96533,0.98831,0.79872,0.74375,1.02148,0.97908,0.00152947,0.00152947,0.00152947
7,931.827,0.76405,0.88997,1.02466,0.86763,0.75558,0.89763,0.66996,0.87551,1.39322,1.11862,0.00150197,0.00150197,0.00150197
8,1051.52,0.75804,0.82111,1.02331,0.96342,0.97471,0.98719,0.83964,0.63523,0.78596,0.91849,0.00147446,0.00147446,0.00147446
9,1171.99,0.76402,0.80083,1.03554,0.98296,0.96964,0.98608,0.85028,0.5972,0.72034,0.90022,0.00144696,0.00144696,0.00144696
10,1295.56,0.73378,0.71448,1.01455,0.97221,0.99359,0.99381,0.85326,0.63379,0.61352,0.92472,0.00141945,0.00141945,0.00141945
